comment_id,comment,article_id,article_title,article_url,reply_id,reply,CQ1,CQ2,CQ3,RQ1,outlet,bias_score,reliability_score,bias_class,reliability_class,overall_reliability,overall_bias,polarity_strength
1390390907904610305,"GFY krys. Nothing in your reply is factual. Learn some shit, and then, GFY! There were NO lawsuits heard, they were dismissed without hearing. There were NO audits, only recounts of the same illegal votes, &amp; Trump didn’t lose! Now we’re stuck with Joey Depends &amp; Sore Knees Kammy",1390372794442072066,DOJ: Arizona recount may violate federal law,https://www.washingtontimes.com/news/2021/may/6/doj-arizona-recount-may-violate-federal-law/,1390394853306118145,Tick Tock Snowflake - you made the claim my statements aren’t factual - prove your accusations ,yes,no,oppose,"J,F",Washington Times,-3.67,45.0,skews right,"generally reliable, analysis or other issues",31.82,14.89,0.965739453802499
1390519831326248961,You mean the democrats who infested the doh?,1390515482633986048,DOJ: Arizona recount may violate federal law,https://www.washingtontimes.com/news/2021/may/6/doj-arizona-recount-may-violate-federal-law/,1390523942318788610,No. It's. Not. It's the Neocons/Neoliberals that are the DeepState Representatives. Gun control is fed through the left side from DeepState shill politicians and anti-social services is fed through the right. That's why they always win.,yes,yes,unrelated,"E,H",Washington Times,-3.67,45.0,skews right,"generally reliable, analysis or other issues",31.82,14.89,0.8310462755679956
1408413083073142794,He earned that right. And now he has the attention of the nation. Jokes on the ignorant administration and the rest of you hateful bigots.,1408401441870471172,A high school valedictorian began a speech about his queer identity and mental health. Then his mic cut out.,https://www.washingtonpost.com/nation/2021/06/25/bryce-dershem-queer-graduation-speech/,1408417529236688901,Yea dude nobody cares. Twitter is not the real world,yes,no,support,"H,I",Washington Post,-1.33,42.0,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9430340241369299
1405947640332750851,Terrorist lives don’t matter sweetie.,1405945470761984002,The slow-building conservative effort to turn Ashli Babbitt into a martyr,https://www.washingtonpost.com/politics/2021/06/18/slow-building-conservative-effort-turn-ashli-babbitt-into-martyr/,1405948284741554178,You seriously need to look up what the word terrorist means. That's what was happening during blm riots last summer.,yes,yes,unrelated,H,Washington Post,-2.67,44.33,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9779482928468952
1405948312440610819,Shooting unarmed women is totally cool if they are Republican.,1405945470761984002,The slow-building conservative effort to turn Ashli Babbitt into a martyr,https://www.washingtonpost.com/politics/2021/06/18/slow-building-conservative-effort-turn-ashli-babbitt-into-martyr/,1405950695690358784,If they are committing treason...yes.,yes,yes,unrelated,"H,E",Washington Post,-2.67,44.33,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9779482928468952
1405958165330546688,"In the event that this picture is real (it would be nice to have an actual source), somebody should have picked up that gun and put Rittenhouse down like a rabid dog. After all, someone has to defend the people from the guy who started shooting wildly with his rifle.",1405945470761984002,The slow-building conservative effort to turn Ashli Babbitt into a martyr,https://www.washingtonpost.com/politics/2021/06/18/slow-building-conservative-effort-turn-ashli-babbitt-into-martyr/,1405959029424279556,"It's all on film silly. And the indecent started when the protesters got angry that Rittenhause used a fire extinguisher to put out out the fire at the repair shop the protesters set. They chased him yelling ""Kill him"", and shots were fired as he ran from the violent mob.",yes,yes,support,H,Washington Post,-2.67,44.33,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9779482928468952
1408520022008414215,If that your idea of a dictatorship….never mind you’re a head in the sand moron.,1408480787259867143,Two young unvaccinated passengers on Royal Caribbean cruise test positive for coronavirus,https://www.washingtonpost.com/travel/2021/06/25/royal-caribbean-cruise-covid/,1408540436482777088,"So Covid can be contained. Until most people are vaccinated, it will continue to mutate and not every variant will respond to the vaccine. #GetVaccinated",yes,no,unrelated,H,Washington Post,0.0,44.33,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9745730942153191
1408539380340473860,Liberals need to keep there masks on because we free happy patriots are sick of their unsmiling hateful ugly faces,1408480787259867143,Two young unvaccinated passengers on Royal Caribbean cruise test positive for coronavirus,https://www.washingtonpost.com/travel/2021/06/25/royal-caribbean-cruise-covid/,1408577663552397319,No because we’re apart of this country If you don’t understand how science works Mind your abcs,yes,yes,unrelated,"G,A",Washington Post,0.0,44.33,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9745730942153191
1405894929361080332,Oh my god! When he commits treason openly like Trump did and you yellow journalists are too chicken shit to call him out I'll start getting worried. Until then fuck off,1405877073902772231,A family affair: Children and other relatives of Biden aides get administration jobs,https://www.washingtonpost.com/politics/biden-aides-relatives-jobs/2021/06/17/ab504a22-cea4-11eb-8cd2-4e95230cfac2_story.html,1405900118772142084,Ooorah!,yes,no,unrelated,E,Washington Post,0.0,44.67,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9120923831996984
1405904694577348620,"Ethics were tossed out the window during the Trump administration. If the republicants want to bitch and moan, well, fuck their feelings.",1405877073902772231,A family affair: Children and other relatives of Biden aides get administration jobs,https://www.washingtonpost.com/politics/biden-aides-relatives-jobs/2021/06/17/ab504a22-cea4-11eb-8cd2-4e95230cfac2_story.html,1405943137869209605,17 followers,yes,yes,unrelated,E,Washington Post,0.0,44.67,skews left,"reliable, analysis/fact reporting",43.85,-7.79,0.9120923831996984
